[2026-08-26 20:37:24] IP: ::1 | User: 1 | URL: /SweetSense/public/index.php?route=catalog | SessionViews: 1 | TotalVisits: 1
[2026-08-26 20:37:33] IP: ::1 | User: 1 | URL: /SweetSense/public/index.php?route=recipe&id=4 | SessionViews: 2 | TotalVisits: 2
[2026-08-26 20:37:45] IP: ::1 | User: 1 | URL: /SweetSense/public/index.php | SessionViews: 3 | TotalVisits: 3
[2026-08-26 20:38:22] IP: ::1 | User: guest | URL: /SweetSense/public/index.php | SessionViews: 1 | TotalVisits: 1
[2026-08-26 20:38:25] IP: ::1 | User: guest | URL: /SweetSense/public/index.php?route=catalog | SessionViews: 2 | TotalVisits: 2
[2026-08-26 20:48:58] IP: ::1 | User: 1 | URL: /SweetSense/public/index.php | SessionViews: 4 | TotalVisits: 4
[2026-08-26 20:49:00] IP: ::1 | User: 1 | URL: /SweetSense/public/index.php?route=catalog | SessionViews: 5 | TotalVisits: 5
[2026-08-26 20:49:01] IP: ::1 | User: 1 | URL: /SweetSense/public/index.php?route=recipe&id=3 | SessionViews: 6 | TotalVisits: 6
[2026-08-26 20:50:24] IP: ::1 | User: 1 | URL: /SweetSense/public/index.php?route=admin | SessionViews: 7 | TotalVisits: 7
[2026-08-26 20:50:25] IP: ::1 | User: 1 | URL: /SweetSense/public/index.php?route=recipe_create | SessionViews: 8 | TotalVisits: 8
[2026-08-26 21:14:33] IP: ::1 | User: 1 | URL: /SweetSense/public/index.php?route=recipe_create | SessionViews: 9 | TotalVisits: 9
[2026-08-26 21:14:34] IP: ::1 | User: 1 | URL: /SweetSense/public/index.php?route=admin | SessionViews: 10 | TotalVisits: 10
[2026-08-26 21:14:35] IP: ::1 | User: 1 | URL: /SweetSense/public/index.php?route=catalog | SessionViews: 11 | TotalVisits: 11
[2026-08-26 21:14:36] IP: ::1 | User: 1 | URL: /SweetSense/public/index.php?route=recipe&id=4 | SessionViews: 12 | TotalVisits: 12
[2026-08-26 21:14:50] IP: ::1 | User: 1 | URL: /SweetSense/public/index.php?route=recipe_edit&id=4 | SessionViews: 13 | TotalVisits: 13
[2026-08-26 21:14:53] IP: ::1 | User: 1 | URL: /SweetSense/public/index.php?route=recipe&id=4 | SessionViews: 14 | TotalVisits: 14
[2026-08-26 21:15:28] IP: ::1 | User: 1 | URL: /SweetSense/public/index.php?route=recipe&id=4 | SessionViews: 15 | TotalVisits: 15
[2026-08-26 21:15:32] IP: ::1 | User: 1 | URL: /SweetSense/public/index.php?route=recipe_edit&id=4 | SessionViews: 16 | TotalVisits: 16
[2026-08-26 21:15:33] IP: ::1 | User: 1 | URL: /SweetSense/public/index.php?route=recipe&id=4 | SessionViews: 17 | TotalVisits: 17
[2026-08-26 21:15:53] IP: ::1 | User: 1 | URL: /SweetSense/public/index.php?route=recipe_edit&id=4 | SessionViews: 18 | TotalVisits: 18
[2026-08-26 21:17:07] IP: ::1 | User: 1 | URL: /SweetSense/public/index.php?route=recipe&id=4 | SessionViews: 19 | TotalVisits: 19
[2026-08-26 21:17:08] IP: ::1 | User: 1 | URL: /SweetSense/public/index.php?route=recipe_edit&id=4 | SessionViews: 20 | TotalVisits: 20
[2026-08-26 21:17:09] IP: ::1 | User: 1 | URL: /SweetSense/public/index.php?route=recipe&id=4 | SessionViews: 21 | TotalVisits: 21
[2026-08-26 21:18:11] IP: ::1 | User: 1 | URL: /SweetSense/public/index.php?route=recipe_edit&id=4 | SessionViews: 22 | TotalVisits: 22
[2026-08-26 21:18:12] IP: ::1 | User: 1 | URL: /SweetSense/public/index.php?route=recipe&id=4 | SessionViews: 23 | TotalVisits: 23
[2026-08-26 21:18:13] IP: ::1 | User: 1 | URL: /SweetSense/public/index.php?route=recipe_edit&id=4 | SessionViews: 24 | TotalVisits: 24
[2026-08-26 21:19:26] IP: ::1 | User: 1 | URL: /SweetSense/public/index.php?route=recipe&id=4 | SessionViews: 25 | TotalVisits: 25
[2026-08-26 21:19:27] IP: ::1 | User: 1 | URL: /SweetSense/public/index.php?route=recipe_edit&id=4 | SessionViews: 26 | TotalVisits: 26
